category,subtype,word_clean_id,word,meaning,best_sentence,sentence_translation,confidence,note
人名,姓氏,18307,Slade,斯莱德（姓）,Mr. Slade taught our history class with great enthusiasm last semester.,斯莱德先生上学期以极大的热情教我们的历史课。,高,
人名,姓氏,18432,smith,史密斯（男子姓氏）,The smith shaped hot metal into useful tools using his forge.,铁匠用他的锻造炉把热铁塑造成有用的工具。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,兼有普通词义的人名,18560,Sol,索尔（男子名，等于Solomon）；（罗马神话）太阳神；黄金,"Ancient civilizations often built temples dedicated to Sol, the sun god.",古代文明经常建造献给太阳神索尔的寺庙。,中,
人名,名字,18624,Sophie,索菲（女名）,Sophie is my best friend at school.,索菲是我在学校最好的朋友。,高,
人名,姓氏,18667,Southerton,萨瑟顿（姓）,Mr. Southerton moved to the quiet village last year and now runs a small bookstore there.,萨瑟顿先生去年搬到了这个安静的村庄，现在在那里经营一家小书店。,高,
人名,兼有普通词义的人名,19409,sue,控告；请求；(Sue)人名；(日)末(名)；(法)休；(英)休(女子教名Susan、Susanna的昵称),"If the company fails to pay you on time, you may need to sue them for breach of contract.",如果公司未能按时付款，你可能需要起诉他们违约。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,文学/神话人物,19921,Telemachus,忒勒玛科斯（Odysseus 和 Penelope 之子）,Telemachus was the son of Odysseus and Penelope in Greek mythology.,忒勒玛科斯是希腊神话中奥德修斯和佩涅罗佩的儿子。,高,
人名,文学/神话人物,20118,Theseus,忒修斯（希腊神话雅典王子）,"In Greek mythology, Theseus bravely entered the labyrinth to defeat the Minotaur.",在希腊神话中，忒修斯勇敢地进入迷宫击败牛头怪。,高,
人名,名字,20240,Tim,蒂姆（男名）,Tim always arrives at the office before nine o'clock every morning.,蒂姆每天早上总是在九点之前到达办公室。,高,
人名,兼有普通词义的人名,20323,tom,雄性动物（尤指雄猫）；汤姆（人名）；〈美口〉(像汤姆叔一样)逆来顺受,"The orange tom cat sat on the fence, watching the birds in the yard.",那只橘色的雄猫坐在栅栏上，看着院子里的鸟。,中,最佳例句当前使用普通词义，人名义需人工决定是否清理
人名,姓氏,20576,Trent,特伦特（姓）,Mr. Trent moved to London last year to start a new job at the university.,特伦特先生去年搬到了伦敦，在大学开始了一份新工作。,高,
人名,姓氏,20732,Turner,特纳（姓氏）,J.M.W. Turner is famous for his beautiful paintings of light and water.,J.M.W. 特纳以其描绘光影和水景的美丽画作而闻名。,高,
人名,宗教/神话人物,21555,Venus,[天] 金星；维纳斯（爱与美的女神）,Venus is the second planet from the Sun and the brightest object in the night sky after the Moon.,金星是距离太阳第二近的行星，也是夜空中仅次于月亮的最亮天体。,中,属于宗教或神话专名，不是现实人物姓名
人名,名字,22001,weldon,韦尔登（男子名）,My friend Weldon works as a teacher in London.,我的朋友韦尔登在伦敦当老师。,高,
人名,名字,22083,Whitney,惠特尼,Whitney Houston was one of the best-selling music artists of all time.,惠特尼·休斯顿是有史以来最畅销的音乐艺术家之一。,高,
地名,城市/城镇,293,Adelaide,阿德莱德（澳大利亚东南部港市，南澳大利亚前首府）,We plan to visit Adelaide next summer to explore its beautiful coastal parks.,我们计划明年夏天访问阿德莱德，探索那里美丽的海滨公园。,高,
地名,洲/大陆,457,Africa,非洲,Africa is home to some of the world's most diverse wildlife and stunning landscapes.,非洲拥有世界上一些最多样化的野生动物和令人惊叹的风景。,高,
地名,州/省/行政区,558,Alabama,阿拉巴马州（美国的一个州）,"Many tourists visit Birmingham, the largest city in Alabama, to explore its rich civil rights history.",许多游客参观阿拉巴马州最大的城市伯明翰，以探索其丰富的民权历史。,高,
地名,州/省/行政区,564,Alaska,阿拉斯加州,"During winter, many people travel to Alaska to watch the northern lights dance across the dark sky.",冬季，许多人前往阿拉斯加州观看北极光在夜空中舞动。,高,
地名,城市/城镇,566,Albany,奥尔巴尼,Students often take a train from New York City to Albany to tour the historic state capitol building.,学生们经常从纽约市乘火车到奥尔巴尼参观历史悠久的州议会大厦。,高,
地名,山脉/山峰/岩体,662,Alps,阿尔卑斯山,The Alps are a famous mountain range located in Europe.,阿尔卑斯山是位于欧洲的著名山脉。,高,
地名,城市/城镇,774,Amsterdam,阿姆斯特丹（荷兰首都）,Many international students choose to study in Amsterdam because of its excellent universities.,许多国际学生选择去阿姆斯特丹学习，因为那里有优秀的大学。,高,
地名,半岛/区域,899,Antarctic,南极的；南极地区,Scientists study the unique wildlife in the Antarctic to understand how animals survive extreme cold.,科学家研究南极的独特野生动物，以了解动物如何在极端寒冷中生存。,高,
地名,半岛/区域,1101,Arabia,阿拉伯半岛（亚洲西南部，等于Arabian Peninsula）,Arabia is a large peninsula located in the southwest of Asia.,阿拉伯半岛是位于亚洲西南部的一个大半岛。,高,
地名,半岛/区域,1141,Arctic,北极,Scientists are studying how climate change affects the ice in the Arctic region.,科学家正在研究气候变化如何影响北极地区的冰层。,高,
地名,洲/大陆,1249,Asia,亚洲,Asia is the largest continent by both population and land area.,亚洲是人口和陆地面积最大的大洲。,高,
地名,城市/城镇,1360,Athens,雅典（希腊首都）,Tourists flock to Athens every year to visit the ancient ruins and learn about Greek history.,游客每年蜂拥至雅典参观古代遗迹并了解希腊历史。,高,
地名,城市/城镇,1366,Atlanta,亚特兰大（女名；城市名）,Atlanta is the capital of the state of Georgia in the United States.,亚特兰大是美国佐治亚州的首府。,中,同一词条兼有人名和地名义
地名,海洋/海域,1367,Atlantic,大西洋；大西洋的,The Atlantic Ocean separates Europe and America.,大西洋分隔了欧洲和美洲。,高,
地名,城市/城镇,1423,Auckland,奥克兰（新西兰北岛西北岸港口城市）,Auckland is the largest city in New Zealand and is located on the North Island.,奥克兰是新西兰最大的城市，位于北岛。,高,
地名,半岛/区域,1639,balkan,巴尔干半岛(的),The Balkan Peninsula is known for its beautiful mountains and diverse cultures.,巴尔干半岛以其美丽的山脉和多元文化而闻名。,中,
地名,城市/城镇,1699,Barcelona,巴塞罗那（西班牙东北部港口城市）,"Every summer, thousands of tourists visit Barcelona to admire Gaudi's famous architecture.",每年夏天，成千上万的游客参观巴塞罗那，欣赏高迪著名的建筑。,高,
地名,河流/海峡/瀑布,1938,Bering,白令海峡,The Bering Strait separates Asia from North America.,白令海峡把亚洲和北美洲分开。,高,
地名,城市/城镇,1940,Berlin,柏林（德国首都）,Berlin is the capital and largest city of Germany.,柏林是德国的首都和最大城市。,高,
地名,城市/城镇,2288,Boston,波士顿,We took a historic walking tour around Boston to learn about its colonial past.,我们沿着波士顿进行了一次历史徒步游览，了解它的殖民时期过去。,高,
地名,城市/城镇,2385,brea,布雷亚(美国加州地名),"Brea is a city located in Orange County, California.",布雷亚是位于加利福尼亚州奥兰治县的一座城市。,高,
