序号,操作类型,批次,记录表,记录ID,词库ID,词库名称,word_clean_id,修改前单词,修改后单词,原始中文释义,word_clean中文释义,删除前例句,删除前例句翻译,修复原因,处理结果,事务版本
32,修改原始单词拼写,02-释义完全一致,word,80770,36,KaoYan_2,6119,easter,Easter,复活节,复活节,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
33,修改原始单词拼写,02-释义完全一致,word,83056,39,ChuZhong_3,18653,soup,Soup,汤,汤,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
34,修改原始单词拼写,02-释义完全一致,word,83513,39,ChuZhong_3,12750,mom,Mom,妈妈,妈妈,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
35,修改原始单词拼写,02-释义完全一致,word,89113,41,GaoZhongluan_2,12870,Mosquito,mosquito,蚊子,蚊子,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
36,修改原始单词拼写,02-释义完全一致,word,89760,41,GaoZhongluan_2,17959,Shanghai,shanghai,上海（中国东部港市）,上海（中国东部港市）,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
37,修改原始单词拼写,02-释义完全一致,word,90875,41,GaoZhongluan_2,10671,internet,Internet,因特网,因特网,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
38,修改原始单词拼写,02-释义完全一致,word,90978,41,GaoZhongluan_2,11807,Lost,lost,失去的；丧失的；迷惑的；遗失（lose的过去分词）；失败,失去的；丧失的；迷惑的；遗失（lose的过去分词）；失败,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
39,修改原始单词拼写,02-释义完全一致,word,97257,44,TOEFL_3,13195,Neolithic,neolithic,新石器时代的,新石器时代的,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
40,修改原始单词拼写,02-释义完全一致,word,113788,56,BEC_2,16677,Rep,rep,棱纹平布；雷普（物体伦琴当量）；代表（representative）；名声（reputation）,棱纹平布；雷普（物体伦琴当量）；代表（representative）；名声（reputation）,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
41,修改原始单词拼写,02-释义完全一致,word,124504,64,TOEFL_2,17426,saturn,Saturn,土星,土星,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
42,修改原始单词拼写,02-释义完全一致,word,126445,64,TOEFL_2,14774,phosphorus,Phosphorus,磷,磷,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
43,修改原始单词拼写,02-释义完全一致,word,126854,64,TOEFL_2,17425,saturday,Saturday,星期六,星期六,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
44,修改原始单词拼写,02-释义完全一致,word,130738,64,TOEFL_2,18653,soup,Soup,汤,汤,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
45,修改原始单词拼写,02-释义完全一致,word,133543,69,WaiYanSheChuZhong_1,18653,soup,Soup,汤,汤,,,原释义与 word_clean 释义完全一致，且修正后无同词库冲突,已修改并验证,10254373
46,修改原始单词拼写,03-人工同义核验,word,2956,4,SAT_3,14109,Oxygen,oxygen,氧,氧； 氧气,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
47,修改原始单词拼写,03-人工同义核验,word,4153,4,SAT_3,10843,Iron,iron,铁,熨烫；铁；熨斗,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
48,修改原始单词拼写,03-人工同义核验,word,8787,7,ChuZhongluan_2,18653,soup,Soup,汤，羹；马力；加速；增加马力,汤,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
49,修改原始单词拼写,03-人工同义核验,word,9031,7,ChuZhongluan_2,22040,Wheel,wheel,车轮；方向盘；转动；转动；使变换方向；给…装轮子,轮， 车轮； 方向盘,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
50,修改原始单词拼写,03-人工同义核验,word,10016,8,PEPGaoZhong_7,17207,Rugby,rugby,（英式）橄榄球,英式橄榄球,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
51,修改原始单词拼写,03-人工同义核验,word,10466,9,SAT_2,14109,Oxygen,oxygen,[化学] 氧气，[化学] 氧,氧； 氧气,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
52,修改原始单词拼写,03-人工同义核验,word,10662,9,SAT_2,10843,Iron,iron,熨斗；烙铁；坚强；熨；用铁铸成；铁的；残酷的；刚强的,熨烫；铁；熨斗,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
53,修改原始单词拼写,03-人工同义核验,word,15428,10,CET6luan_1,1487,Automatically,automatically,自动地；不经思考地,自动地；无意识地,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
54,修改原始单词拼写,03-人工同义核验,word,15764,11,BeiShiGaoZhong_3,9729,Iceberg,iceberg,冰山，浮冰,冰山,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
55,修改原始单词拼写,03-人工同义核验,word,16999,12,Level8luan_2,15083,Polish,polish,磨光，擦亮；上光剂，擦亮剂；优雅，精良；擦亮，变光滑；波兰的,擦亮， 磨光； 润色,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
56,修改原始单词拼写,03-人工同义核验,word,18286,12,Level8luan_2,17379,SAP,sap,[植] 树液；精力，元气；活力；坑道；使衰竭，使伤元气；挖掘以破坏基础,使衰竭；树汁；体液,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
57,修改原始单词拼写,03-人工同义核验,word,18376,12,Level8luan_2,18653,soup,Soup,汤，羹；马力；加速；增加马力,汤,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
58,修改原始单词拼写,03-人工同义核验,word,18756,12,Level8luan_2,11571,life,Life,生活，生存；寿命,生命；生活,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
59,修改原始单词拼写,03-人工同义核验,word,24536,12,Level8luan_2,523,aids,AIDS,艾滋病（Acquired Immune Deficiency Syndrome）；获得性免疫缺乏综合症,艾滋病（后天免疫缺损综合症）；（Acquired Immune Deficiency Syndrome）的缩写,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
60,修改原始单词拼写,03-人工同义核验,word,26404,12,Level8luan_2,1141,arctic,Arctic,北极的；极寒的；北极圈；御寒防水套鞋,北极,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
61,修改原始单词拼写,03-人工同义核验,word,27622,12,Level8luan_2,17207,Rugby,rugby,英式橄榄球；拉格比（英格兰中部的城市）,英式橄榄球,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
62,修改原始单词拼写,03-人工同义核验,word,28500,13,GaoZhong_2,1569,Baby,baby,婴儿，婴孩；孩子气的人；纵容，娇纵；把……当婴儿般对待；婴儿的；幼小的,婴儿；婴孩,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
63,修改原始单词拼写,03-人工同义核验,word,29282,13,GaoZhong_2,6068,Dynamic,dynamic,动态的；动力的；动力学的；有活力的；动态；动力,有活力的； 动力的， 动力学的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
64,修改原始单词拼写,03-人工同义核验,word,29283,13,GaoZhong_2,6074,Dynasty,dynasty,王朝，朝代,朝代， 王朝,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
65,修改原始单词拼写,03-人工同义核验,word,29443,13,GaoZhong_2,7230,FALSE,false,错误的；虚伪的；伪造的；欺诈地,假的； 不正确的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
66,修改原始单词拼写,03-人工同义核验,word,29880,13,GaoZhong_2,10193,Indicate,indicate,表明；指出；预示；象征,指出， 显示,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
67,修改原始单词拼写,03-人工同义核验,word,30053,13,GaoZhong_2,11571,life,Life,生活，生存；寿命,生命；生活,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
68,修改原始单词拼写,03-人工同义核验,word,30964,13,GaoZhong_2,17585,Scratch,scratch,擦伤；抓痕；刮擦声；乱写；打草稿用的；凑合的；碰巧的；抓；刮；挖出；乱涂,抓，划破；乱涂；乱写； 抓痕,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
69,修改原始单词拼写,03-人工同义核验,word,31177,13,GaoZhong_2,18653,soup,Soup,汤，羹；马力；加速；增加马力,汤,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
70,修改原始单词拼写,03-人工同义核验,word,31555,13,GaoZhong_2,20668,TRUE,true,真实的；正确的；真实地；准确地；真实；准确；装准,真正的， 确实的； 正确的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
71,修改原始单词拼写,03-人工同义核验,word,32144,15,WaiYanSheChuZhong_2,11571,life,Life,生活；生命,生命；生活,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
72,修改原始单词拼写,03-人工同义核验,word,32372,15,WaiYanSheChuZhong_2,22278,wow,Wow,哇；噢,（表示惊奇或敬佩）哇；呀,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
73,修改原始单词拼写,03-人工同义核验,word,32435,15,WaiYanSheChuZhong_2,22024,Western,western,西方的,西方的； 西部的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
74,修改原始单词拼写,03-人工同义核验,word,43933,19,BeiShiGaoZhong_8,13014,Muslim,muslim,穆斯林，伊斯兰教信徒,穆斯林；穆罕默德信徒；伊斯兰教的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
75,修改原始单词拼写,03-人工同义核验,word,44106,19,BeiShiGaoZhong_8,21410,Utopia,utopia,乌托邦，理想中的完美社会,乌托邦（理想中最美好的社会）；理想国,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
76,修改原始单词拼写,03-人工同义核验,word,44196,20,PEPXiaoXue4_1,22278,wow,Wow,呀,（表示惊奇或敬佩）哇；呀,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
77,修改原始单词拼写,03-人工同义核验,word,44262,21,WaiYanSheChuZhong_5,22278,wow,Wow,呀；哇（用于表示惊讶或赞叹）,（表示惊奇或敬佩）哇；呀,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
78,修改原始单词拼写,03-人工同义核验,word,45801,22,CET6_1,1487,Automatically,automatically,自动地；不经思考地,自动地；无意识地,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
79,修改原始单词拼写,03-人工同义核验,word,47843,24,Level4_2,8840,Gypsy,gypsy,吉卜赛人；吉卜赛语；像吉布赛的人；歌舞剧中的歌舞队员；象吉卜赛人的；吉卜赛人的；无照的；流浪,吉普赛人,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
80,修改原始单词拼写,03-人工同义核验,word,48812,24,Level4_2,15083,Polish,polish,磨光，擦亮；上光剂，擦亮剂；优雅，精良；擦亮，变光滑；波兰的,擦亮， 磨光； 润色,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
81,修改原始单词拼写,03-人工同义核验,word,49233,24,Level4_2,17379,SAP,sap,[植] 树液；精力，元气；活力；坑道；使衰竭，使伤元气；挖掘以破坏基础,使衰竭；树汁；体液,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
82,修改原始单词拼写,03-人工同义核验,word,52191,29,Level8_2,523,aids,AIDS,艾滋病（Acquired Immune Deficiency Syndrome）；获得性免疫缺乏综合症,艾滋病（后天免疫缺损综合症）；（Acquired Immune Deficiency Syndrome）的缩写,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
83,修改原始单词拼写,03-人工同义核验,word,52497,29,Level8_2,1141,arctic,Arctic,北极的；极寒的；北极圈；御寒防水套鞋,北极,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
84,修改原始单词拼写,03-人工同义核验,word,58484,29,Level8_2,11571,life,Life,生活，生存；寿命,生命；生活,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
85,修改原始单词拼写,03-人工同义核验,word,60156,29,Level8_2,15083,Polish,polish,磨光，擦亮；上光剂，擦亮剂；优雅，精良；擦亮，变光滑；波兰的,擦亮， 磨光； 润色,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
86,修改原始单词拼写,03-人工同义核验,word,61249,29,Level8_2,17207,Rugby,rugby,英式橄榄球；拉格比（英格兰中部的城市）,英式橄榄球,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
87,修改原始单词拼写,03-人工同义核验,word,61352,29,Level8_2,17379,SAP,sap,[植] 树液；精力，元气；活力；坑道；使衰竭，使伤元气；挖掘以破坏基础,使衰竭；树汁；体液,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
88,修改原始单词拼写,03-人工同义核验,word,62099,29,Level8_2,18653,soup,Soup,汤，羹；马力；加速；增加马力,汤,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
89,修改原始单词拼写,03-人工同义核验,word,66709,31,GMATluan_2,15735,protestant,Protestant,抗议的；持异议的；新教的；抗议者；持异议者；新教徒,新教的；新教徒的；新教；新教徒,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
90,修改原始单词拼写,03-人工同义核验,word,77929,36,KaoYan_2,11067,june,June,六月；琼（女名）,六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
91,修改原始单词拼写,03-人工同义核验,word,78739,36,KaoYan_2,18653,soup,Soup,汤，羹；马力；加速；增加马力,汤,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
92,修改原始单词拼写,03-人工同义核验,word,79187,36,KaoYan_2,8046,friday,Friday,星期五；忠仆,星期五,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
93,修改原始单词拼写,03-人工同义核验,word,79278,36,KaoYan_2,3283,christian,Christian,基督徒，信徒；基督教的；信基督教的,基督教徒的；基督教徒,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
94,修改原始单词拼写,03-人工同义核验,word,82128,38,PEPGaoZhong_1,13995,Overcoat,overcoat,大衣；外套,大衣，外套,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
95,修改原始单词拼写,03-人工同义核验,word,83267,39,ChuZhong_3,22320,x-ray,X-ray,X射线的， X光的,X射线,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
96,修改原始单词拼写,03-人工同义核验,word,84048,39,ChuZhong_3,11571,life,Life,生命， 性命； 一生， 寿命； 生活， 生存； 人生； 生物； 生气， 活力,生命；生活,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
97,修改原始单词拼写,03-人工同义核验,word,85109,40,Level4luan_2,17379,SAP,sap,[植] 树液；精力，元气；活力；坑道；使衰竭，使伤元气；挖掘以破坏基础,使衰竭；树汁；体液,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
98,修改原始单词拼写,03-人工同义核验,word,85401,40,Level4luan_2,15083,Polish,polish,磨光，擦亮；上光剂，擦亮剂；优雅，精良；擦亮，变光滑；波兰的,擦亮， 磨光； 润色,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
99,修改原始单词拼写,03-人工同义核验,word,86947,40,Level4luan_2,8840,Gypsy,gypsy,吉卜赛人；吉卜赛语；像吉布赛的人；歌舞剧中的歌舞队员；象吉卜赛人的；吉卜赛人的；无照的；流浪,吉普赛人,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
100,修改原始单词拼写,03-人工同义核验,word,88887,41,GaoZhongluan_2,20668,TRUE,true,真实的；正确的；真实地；准确地；真实；准确；装准,真正的， 确实的； 正确的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
101,修改原始单词拼写,03-人工同义核验,word,90082,41,GaoZhongluan_2,10193,Indicate,indicate,表明；指出；预示；象征,指出， 显示,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
102,修改原始单词拼写,03-人工同义核验,word,90378,41,GaoZhongluan_2,6074,Dynasty,dynasty,王朝，朝代,朝代， 王朝,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
103,修改原始单词拼写,03-人工同义核验,word,90456,41,GaoZhongluan_2,17585,Scratch,scratch,擦伤；抓痕；刮擦声；乱写；打草稿用的；凑合的；碰巧的；抓；刮；挖出；乱涂,抓，划破；乱涂；乱写； 抓痕,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
104,修改原始单词拼写,03-人工同义核验,word,90741,41,GaoZhongluan_2,18653,soup,Soup,汤，羹；马力；加速；增加马力,汤,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
105,修改原始单词拼写,03-人工同义核验,word,90840,41,GaoZhongluan_2,1569,Baby,baby,婴儿，婴孩；孩子气的人；纵容，娇纵；把……当婴儿般对待；婴儿的；幼小的,婴儿；婴孩,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
106,修改原始单词拼写,03-人工同义核验,word,91230,41,GaoZhongluan_2,11571,life,Life,生活，生存；寿命,生命；生活,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
107,修改原始单词拼写,03-人工同义核验,word,91528,41,GaoZhongluan_2,6068,Dynamic,dynamic,动态的；动力的；动力学的；有活力的；动态；动力,有活力的； 动力的， 动力学的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
108,修改原始单词拼写,03-人工同义核验,word,91619,41,GaoZhongluan_2,7230,FALSE,false,错误的；虚伪的；伪造的；欺诈地,假的； 不正确的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
109,修改原始单词拼写,03-人工同义核验,word,93254,43,PEPGaoZhong_2,4707,Czar,czar,沙皇,（帝俄的）沙皇，皇帝；独裁者,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
110,修改原始单词拼写,03-人工同义核验,word,93315,43,PEPGaoZhong_2,18924,Stadium,stadium,（露天大型）体育场,体育场,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
111,修改原始单词拼写,03-人工同义核验,word,93494,43,PEPGaoZhong_2,11096,karaoke,Karaoke,卡拉OK录音；自动伴奏录音,卡拉OK；卡拉OK录音，自动伴奏录音,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
112,修改原始单词拼写,03-人工同义核验,word,94367,44,TOEFL_3,14170,Paleolithic,paleolithic,旧石器时代的；旧石器时代,旧石器时代的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
113,修改原始单词拼写,03-人工同义核验,word,98253,45,CET4luan_2,10994,jewish,Jewish,犹太人的,犹太人的；犹太族的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
114,修改原始单词拼写,03-人工同义核验,word,100571,45,CET4luan_2,12671,Mister,mister,先生,先生；平民；称…先生,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
115,修改原始单词拼写,03-人工同义核验,word,101028,45,CET4luan_2,8540,God,god,神，神像；上帝,神；（大写首字母时）上帝；膜拜，崇拜,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
116,修改原始单词拼写,03-人工同义核验,word,101377,45,CET4luan_2,11571,life,Life,生命；一生；寿命,生命；生活,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
117,修改原始单词拼写,03-人工同义核验,word,103932,49,CET4_2,7230,FALSE,false,不真实的；伪造的,假的； 不正确的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
118,修改原始单词拼写,03-人工同义核验,word,104190,49,CET4_2,8540,God,god,神，神像；上帝,神；（大写首字母时）上帝；膜拜，崇拜,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
119,修改原始单词拼写,03-人工同义核验,word,104591,49,CET4_2,10994,jewish,Jewish,犹太人的,犹太人的；犹太族的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
